issuekey,title,description,storypoint
USERGRID-16,asset data correctly obey contextual ownership like entity,asset data endpoint assetsuuiddata correctly obey contextual ownership instance default role permission set removing existing getputpostdeleteusersme user able perform operations entity usersme sub collections instance following scenario work described app default role permissions edited match path user bob registers app user bob creates following asset uploads data usersmeassetsmyasset usersmeassetsmyassetdata user fred registers app user fred get usersbobassetsmyasset usersbobassetsmyassetdata anonymous user get usersbobassetsmyasset usersbobassetsmyassetdata see orgusergridrestapplicationsusersownershipresourceit examples,3
USERGRID-17,expose refresh token rest tier,need add refresh token capability rest tier may able update oauth impl also refresh tokens core removed time ago might able back commits prior removed see,3
USERGRID-19,bad geo query returns entire collection,badly formed geo query sent get api returns entire collection return nothing return sort query parse error example missing location param query statement within returns first entities collection even though query cant parsed,3
USERGRID-21,empty string doesnt remove entity property null doesnt work either,users able remove entity properties using either empty string null test see either works empty string work setting empty string keep property set empty string null always remove key curl post authorization bearer ywmtifzejreeohfgowhrloaaaauizmdwtwqtdewhcikgdyymovvqv httsapiusergridcomhotrodfdfdsafdbooksddbaeaabebcql fred curl post authorization bearer ywmtifzejreeohfgowhrloaaaauizmdwtwqtdewhcikgdyymovvqv httsapiusergridcomhotrodfdfdsafdbooksddbaeaabebcql frednull,3
USERGRID-23,fresh admin user token wont work managementusersme,logging curl post granttypepasswordusernamefdsafdsapasswordfdsafdsafdsa user able log token curl get authorization bearer ywmtxkhayeeooblzqpxkkaaaaudriyfhegizloihjztoxjqkxpbfthc token works endpoints update looks like problem managementusersusername email endpoint caseinsensitive username email address need update api call caseinsensitive,3
USERGRID-24,collection counters app endpoint completely,counts items collection returned call orgapp completely usually factor possibly related usergrid something fix possible solution two parts investigate code paths ensure counters invoked needed create job invoked automatically manually recount entities collection,3
USERGRID-26,offer option delete inbound andor outbound connections entity delete,per inbound connections cleaned entity deleted example entity rock entity paper like entity scissors likes connections scissors deleted scissors deleted would great option delete inbound connections entity deleted flag also possible deletes queries,3
USERGRID-27,limit connection query working,also limit doesnt seems working connections returns case,3
USERGRID-29,dont seem parsing correctly,made simple app test usergrids capabilities trouble updating entities contain html entities add entity collection called language also collection whenever try update grab via collection query select ownedtestuser langc get back entity tried encoding strings cbb gets double encoded cbb typical call makes without trying encode anything although seems encode correctly returns entity langc langc confirmed scott nope create entity attribute find querying,3
USERGRID-30,collectionidconnected paths either return entity empty set,clear path supposed accepted always returns empty set results error examples curl returns empty set despite follower relationships existing curl returns empty set despite users connected curl returns error despite entity uuid connected either accept name uuid end return entity exists connected entities exist list connected entities accept relationship identifier return connected entities identifier empty set none accept collection name type return connected entities type empty set none tell supposed provided put docs sdks,3
USERGRID-35,cannot delete entity connection,repro attempt delete entity connection curl delete notice get error message errorclasscasttimestampdurationexceptionjavalangclasscastexceptionerrordescriptionorgusergridpersistencecassandraconnectedentityrefimpl cannot cast orgusergridpersistencecassandraconnectionrefimpl expected entity deleted connection deleted well,3
USERGRID-40,activitystreams indexed,toplevel properties like category content title indexed default activitiesqlcategory report objects actor object provider generator target deepindexed queries like activitiesqlobjectuuid cacaabbebcf activitiesqlauthorname tim etc,3
USERGRID-51,result setup call setup say failed create critical failure,need verify still issue setup call run create keyspaces could fail various reason however seems result call status always says panel rootrutea lib curl superusersupervisor systemdatabasesetup action cassandra setup status timestamp duration panel way reproduce problem usergrid properties define use networktopologystrategy replicationfactor panel cassandrakeyspacestrategyoptionsreplicationfactor cassandrakeyspacestrategyoptionsuseast cassandrakeyspacestrategyorgapachecassandralocatornetworktopologystrategy panel becomes stricter options used previously warning combination strategy options invalid networktopologystrategy result failure creating keyspace hence status result setup call reflect,3
USERGRID-56,error possible race condition assetsuuiddata endpoints,looks like might race condition assetsuuiddata endpoints perhaps assets general noticed calls successful time put wait fails get error errorwebapplicationtimestampdurationexceptionjavaxwsrswebapplicationexceptionerrordescriptioncomsunjerseyapimessageexception message body reader java class comsunjerseymultipartformdatamultipart java type class comsunjerseymultipartformdatamultipart mime media type applicationoctetstream foundn,3
USERGRID-58,application endpoint returns incorrect counts,heres example obviously bad counts dogs title dogs count name dogs type dog medications title medications count name medications type medication somethings title somethings count name somethings type something suspect,3
USERGRID-59,mismatch application metadata applicationscf management apps,sometimes theres mismatch application metadata applicationscf management apps need repair datas,3
USERGRID-82,cannot change custom entity name,custom entity attempt update entitys name via put system accept request return success name remain unchanged using ugc ugc create foo name bar ugc update foobar name baz note referencing entity put via uuid effect,3
USERGRID-98,post events returns entity exist,create new event entity api returns entity uuid get entity api returns service resource found error get events endpoint also shows entity saved post curl post timestamp categorytestcat returns response action post application aedbdaecefeaaa params path events uri entities uuid cacebd type event created modified timestamp category testcat message null metadata path eventscacebd get eventscacebd returns error errorserviceresourcenotfoundtimestampdurationexceptionorgusergridservicesexceptionsserviceresourcenotfoundexceptionerrordescriptionservice resource found,3
USERGRID-103,upgrade latest jersey release,jaxrs brings lots new features much better extensible async support ones think useful,5
USERGRID-160,select filter queries dot notation dont return results,steps reproduce create collection populate entity following data foobar baz run get query collection filter foobar results returned select filter isnt working dotnotated key names attached realworld usecase failing,3
USERGRID-161,required fields required users page admin portal,users page admin portal several fields marked required,3
USERGRID-178,lack documentation available features rest apis,proper documentation available features rest apis bit time consuming things apache usergrid without documentation,3
USERGRID-179,java documentations misleading userdeveloper,java classes usergrid sdks still referring apigee sdks classes method explanation logoutappuserasync method clientjava usergrid android sdk referring class called dataclient class called dataclient usergrid android sdk apigee sdk therefore difficult figure going code base,3
USERGRID-193,savecollectionmembers export correctly export entity data,saveconnections savedictionaries methods called end savecollectionmembers file exportserviceimpljava collection entity null would return export connections dictionaries particular entity thus calling functions start method ensures connections dictionaries always exported,3
USERGRID-210,fix test app limit test twodoto branch,test fails fails account default apps created test framework also need enforce app limit usergrid applicationsittestapplimit elements removed expected test method marked ignore fix bug reenable test fix test properly check app limit,3
USERGRID-212,fix eventsresourceittesteventpostandget,test fails code still using hector eventsresourceittesteventpostandget uniforminterface get orgapacheusergridpersistenceexceptionsqueueexception neccessary queue bounds found orgapacheusergridmqcassandraioabstractsearchgetqueuerangeabstractsearchjava orgapacheusergridmqcassandraionotransactionsearchgetidsnotransactionsearchjava orgapacheusergridmqcassandraionotransactionsearchgetresultsnotransactionsearchjava orgapacheusergridmqcassandraqueuemanagerimplgetfromqueuequeuemanagerimpljava orgapacheusergridrestapplicationseventseventsresourceexecutegeteventsresourcejava sunreflectnativemethodaccessorimplinvokenative method sunreflectnativemethodaccessorimplinvokenativemethodaccessorimpljava sunreflectdelegatingmethodaccessorimplinvokedelegatingmethodaccessorimpljava javalangreflectmethodinvokemethodjava test method marked ignored fix bug reenable test figure fails fix,3
USERGRID-215,possible bug usergridlibminjs typeerror null,using master turn firebug firefox log portal see following console error usergridlibminjs line col thiscnextsiblingforcthisdcnextsiblingccparentwhile first things first anyone else reproduce idea looked javascript yet,3
USERGRID-216,get nonexists entity name throws authorisation required,example get sandboxusersnonexistusername throws error code code code provider public class serviceresourcenotfoundexceptionmapper extends abstractexceptionmapperserviceresourcenotfoundexception override public response toresponse serviceresourcenotfoundexception subjectutilsgetsubjectuserid null return toresponse unauthorized else return toresponse notfound code,2
USERGRID-230,unable run usergrid line internet,trying run launcher connected internet spring bean error unable load spring xsd line usergridstandalonecontextxml launcher module ive tried run source builds command issue,3
USERGRID-231,default collections created database setup,steps reproduce setup new usergrid system http get url systemdatabasesetup http get url systemsuperusersetup login portal see roles collection collections activities assets devices folders groups roles tokens users,3
USERGRID-235,inconsistent missing resource status code,assuming valid credentials get different status code depending authorization method bearer token curl get accept applicationjson authorization bearer xxx error service resource found client secret curl get accept applicationjson http unauthorized note cases client receives body content errorserviceresourcenotfoundtimestampdurationexceptionorgapacheusergridservicesexceptionsserviceresourcenotfoundexceptionerrordescriptionservice resource found,3
USERGRID-236,portal looks helpjsonjson wrong place,deploy portal path get possible error portal loads pages able load helpjsonjson,3
USERGRID-237,twodoto error portal entity create,entity created portal attempts load entity gets error server forms bad url two slashes application specified,3
USERGRID-238,remove ars maquette font portal,portalcssarsmarquette distusergridportalcssarsmarquette distcovusergridportalcssarsmarquette fonts copyright ars typeangus shamal rights reserved license redistribute,2
USERGRID-241,index queue depend solely aws sqs,twodoto branch faulty queue implementation replaced set queue interfaces aws sqs implementation interfaces usergrid depend commercial service usergrid launcher able run standalone without external services need queue implementation embed usergrid running junit tests depend queue running usergrid launcher ideally one also run remotely apache qpid seems good candidate default queue implementation,3
USERGRID-249,cant post connection,setting roles prescribed receive error terminal trying create connection warning exception occurred body skip javalangillegalstateexception skip bytes available orgglassfishgrizzly tried issuing command shell portal post usersfaefeffdffbmynotes data learn usergrid post usersfaefeffdffbmynotes data learn usergrid either command returns usersfaefeffdffbmynotes action post application fbfaeeebbeeadfab params accesstoken ywmtmzwuiqueescltpguhfegaaaufjuwrktiypwsnvohbvatmkmnjfts path usersfaefeffdffbmynotes uri entities timestamp duration organization test applicationname notepad however entities created ive also tried using curl results curl authorization bearer ywmtjjacqleesrfvxwfraaaaufffucqvwoyiavxxioeaufnoa post datalear usergrid execute post usersfaefeffdffbmynotes well made difference charles,3
USERGRID-262,cursor errors translated users,advancing beyond cursors end passing invalid cursor following error returned user code body errorelasticsearchillegalargumenttimestampdurationerrordescriptionfailed decode scrollidexceptionorgelasticsearchelasticsearchillegalargumentexception code catch error return friendlier error message users,3
USERGRID-263,limit honored subsequent requests cursors,following scenario worked weve broken steps reproduce perform query returns cursor limit may may supplied curl get perform next page query change limit curl get happen response entities assuming return actually happens response entities original query requested,3
USERGRID-273,cleanup test harness create declarative test framework,currently test harnesses mess spaghetti need decouple mess allow cleanly define rules requirements system think need break following behaviors test execution environments parallel execution default behavior tests assumed parallel serial execution exception used parallel execution cannot accomplished tests classification run method time concurrency external resources cassandra configure runtime pre invocation hook create default implementation truncating column families manually added execute default post invocation hook elasticsearch configure runtime pre invocation hook create default implementation truncating column families manually added execute default post invocation hook lifecycle test numerous lifecycle operations set rules class instance done via inheritance abstract tests old junit way operating needs removed,8
USERGRID-280,implement admin user methods management class rest tests,implement admin user methods management class rest tests ensure adminusersit test works,3
USERGRID-281,implement superuser methods management class rest tests,implement superuser methods management class rest tests implement superuser token methods also,3
USERGRID-286,spike research asynch distributed workflow,need develop asynch distributed workflow things like data cleanup appcollection deletion,3
USERGRID-294,move cleanup tests run stack,move cleanup tests run stack,5
