issuekey,title,description,storypoint
CLOV-1086,line coverage data inconsistent,running idea get inconsistent line branch coverage editor every line hit test always gets hitcount,2
CLOV-379,surefire classpath incorrect depending jar testjar maven module,two different applications symptom test cases work properly executed without clover run clover fail classes resource files missing classpath running builds clover test cases executed multiple times last time run fail checking maven debug output using option found last time test cases run jar file missing classpath applications jar file maven module depend jar testjar types module example following pomxml file dependency groupidparentgroupidgroupid artifactidserverdataaccessartifactid versionversionversion typetestjartype scopetestscope dependency dependency groupidparentgroupidgroupid artifactidserverdataaccessartifactid versionversionversion dependency reason test cases executed last time following second dependency included list jars classpath attached pomxml files module test cases fail serverwebpom pomxml files parents pomxml file module generates jar testjar serverdataaccesspom log file get running maven option classpath test cases fail notice optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverserverdataaccesstargetserverdataaccesssnapshotjar missing buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverserverwebtargettestclasses buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverserverwebtargetclasses buildnov debug optbamboomrepositoryxercesxercesimplxercesimpljar buildnov debug optbamboomrepositoryxmlapisxmlapisxmlapisjar buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverservermodeltargetservermodelsnapshotjar buildnov debug optbamboomrepositorycommonslangcommonslangcommonslangjar buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverserveractionstargetserveractionssnapshotjar buildnov debug optbamboomrepositorycommonsloggingcommonsloggingcommonsloggingjar buildnov debug optbamboomrepositorylogjlogjlogjjar buildnov debug optbamboomrepositorycomicommercebmlutilutiljar buildnov debug optbamboomrepositorycomicommercebmltkutiltkutiljar buildnov debug optbamboomrepositoryorgjbossnettynettyganettygajar buildnov debug optbamboomrepositoryorgspringframeworkspringspringjar buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverservercoretargetservercoresnapshotjar buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverserverdataaccesstargetserverdataaccesssnapshottestsjar buildnov debug optbamboomrepositoryorghibernatehibernategahibernategajar buildnov debug optbamboomrepositorynetsfehcacheehcacheehcachejar buildnov debug optbamboomrepositorycommonscollectionscommonscollectionscommonscollectionsjar buildnov debug optbamboomrepositoryjavaxtransactionjtabjtabjar buildnov debug optbamboomrepositoryasmasmattrsasmattrsjar buildnov debug optbamboomrepositorydomjdomjdomjjar buildnov debug optbamboomrepositoryantlrantlrantlrjar buildnov debug optbamboomrepositorycglibcglibcglibjar buildnov debug optbamboomrepositoryasmasmasmjar buildnov debug optbamboomrepositoryorghibernatehibernateannotationsgahibernateannotationsgajar buildnov debug optbamboomrepositoryjavaxpersistencepersistenceapipersistenceapijar buildnov debug optbamboomrepositoryorghibernatehibernatecommonsannotationsgahibernatecommonsannotationsgajar buildnov debug optbamboomrepositoryorghibernatehibernatevalidatorgahibernatevalidatorgajar buildnov debug optbamboomrepositoryorghibernatehibernatesearchgahibernatesearchgajar buildnov debug optbamboomrepositoryorgapachelucenelucenecorelucenecorejar buildnov debug optbamboomrepositoryjavaxservletservletapiservletapijar buildnov debug optbamboomrepositoryorgdroolsdroolscoredroolscorejar buildnov debug optbamboomrepositoryorgmvelmveljavamveljavajar buildnov debug optbamboomrepositorycommonsiocommonsiocommonsiojar buildnov debug optbamboomrepositoryjavaxjeejeejar buildnov debug optbamboomrepositorycomsunxmlbindjaxbimpljaxbimpljar buildnov debug optbamboomrepositoryjavaxxmlbindjaxbapijaxbapijar buildnov debug optbamboomrepositoryjavaxxmlstreamstaxapistaxapijar buildnov debug optbamboomrepositoryjavaxactivationactivationactivationjar buildnov debug optbamboomrepositorycomicommercecommoncommonconfigurationcommonconfigurationjar buildnov debug optbamboomrepositoryopensymphonyoscacheoscachejar buildnov debug optbamboomrepositorycomicommercebmlbmlcoresnapshotbmlcoresnapshotjar buildnov debug optbamboomrepositorycomicommercebmlcachesnapshotcachesnapshotjar buildnov debug optbamboomrepositorycomicommercecommoncommonspringutilcommonspringutiljar buildnov debug optbamboomrepositoryesperesperesperjar buildnov debug optbamboomrepositoryorgantlrantlrruntimeantlrruntimejar buildnov debug optbamboomrepositoryorgantlrstringtemplatebstringtemplatebjar buildnov debug optbamboomrepositoryquartzquartzquartzjar buildnov debug optbamboomrepositoryjunitjunitjunitjar buildnov debug optbamboomrepositorycommockrunnermockrunnermockrunnerjar buildnov debug optbamboomrepositorycomicommercecommoncommonabstractunittestscommonabstractunitteststestsjar buildnov debug optbamboomrepositorycomicommercebmlunittestsnapshotunittestsnapshotjar buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverserverdataaccesstargetserverdataaccesssnapshottestsjar buildnov debug optbamboomrepositorycomoracleoraclejdbcoraclejdbcjar classpath succeeds buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverserverwebtargettestclasses buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverserverwebtargetclasses buildnov debug optbamboomrepositoryxercesxercesimplxercesimpljar buildnov debug optbamboomrepositoryxmlapisxmlapisxmlapisjar buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverservermodeltargetservermodelsnapshotjar buildnov debug optbamboomrepositorycommonslangcommonslangcommonslangjar buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverserveractionstargetserveractionssnapshotjar buildnov debug optbamboomrepositorycommonsloggingcommonsloggingcommonsloggingjar buildnov debug optbamboomrepositorylogjlogjlogjjar buildnov debug optbamboomrepositorycomicommercebmlutilutiljar buildnov debug optbamboomrepositorycomicommercebmltkutiltkutiljar buildnov debug optbamboomrepositoryorgjbossnettynettyganettygajar buildnov debug optbamboomrepositoryorgspringframeworkspringspringjar buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverservercoretargetservercoresnapshotjar buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverserverdataaccesstargetserverdataaccesssnapshotjar buildnov debug optbamboomrepositoryorghibernatehibernategahibernategajar buildnov debug optbamboomrepositorynetsfehcacheehcacheehcachejar buildnov debug optbamboomrepositorycommonscollectionscommonscollectionscommonscollectionsjar buildnov debug optbamboomrepositoryjavaxtransactionjtabjtabjar buildnov debug optbamboomrepositoryasmasmattrsasmattrsjar buildnov debug optbamboomrepositorydomjdomjdomjjar buildnov debug optbamboomrepositoryantlrantlrantlrjar buildnov debug optbamboomrepositorycglibcglibcglibjar buildnov debug optbamboomrepositoryasmasmasmjar buildnov debug optbamboomrepositoryorghibernatehibernateannotationsgahibernateannotationsgajar buildnov debug optbamboomrepositoryjavaxpersistencepersistenceapipersistenceapijar buildnov debug optbamboomrepositoryorghibernatehibernatecommonsannotationsgahibernatecommonsannotationsgajar buildnov debug optbamboomrepositoryorghibernatehibernatevalidatorgahibernatevalidatorgajar buildnov debug optbamboomrepositoryorghibernatehibernatesearchgahibernatesearchgajar buildnov debug optbamboomrepositoryorgapachelucenelucenecorelucenecorejar buildnov debug optbamboomrepositoryjavaxservletservletapiservletapijar buildnov debug optbamboomrepositoryorgdroolsdroolscoredroolscorejar buildnov debug optbamboomrepositoryorgmvelmveljavamveljavajar buildnov debug optbamboomrepositorycommonsiocommonsiocommonsiojar buildnov debug optbamboomrepositoryjavaxjeejeejar buildnov debug optbamboomrepositorycomsunxmlbindjaxbimpljaxbimpljar buildnov debug optbamboomrepositoryjavaxxmlbindjaxbapijaxbapijar buildnov debug optbamboomrepositoryjavaxxmlstreamstaxapistaxapijar buildnov debug optbamboomrepositoryjavaxactivationactivationactivationjar buildnov debug optbamboomrepositorycomicommercecommoncommonconfigurationcommonconfigurationjar buildnov debug optbamboomrepositoryopensymphonyoscacheoscachejar buildnov debug optbamboomrepositorycomicommercebmlbmlcoresnapshotbmlcoresnapshotjar buildnov debug optbamboomrepositorycomicommercebmlcachesnapshotcachesnapshotjar buildnov debug optbamboomrepositorycomicommercecommoncommonspringutilcommonspringutiljar buildnov debug optbamboomrepositoryesperesperesperjar buildnov debug optbamboomrepositoryorgantlrantlrruntimeantlrruntimejar buildnov debug optbamboomrepositoryorgantlrstringtemplatebstringtemplatebjar buildnov debug optbamboomrepositoryquartzquartzquartzjar buildnov debug optbamboomrepositoryjunitjunitjunitjar buildnov debug optbamboomrepositorycommockrunnermockrunnermockrunnerjar buildnov debug optbamboomrepositorycomicommercecommoncommonabstractunittestscommonabstractunitteststestsjar buildnov debug optbamboomrepositorycomicommercebmlunittestsnapshotunittestsnapshotjar buildnov debug optbamboobambooxmldatabuilddirmonitoringnightlymonitoringserverserverdataaccesstargetserverdataaccesssnapshottestsjar buildnov debug optbamboomrepositorycomoracleoraclejdbcoraclejdbcjar,2
CLOV-1085,message balloon clean snapshot bogus,clean shapshot first optimised test run balloon message see cij thoughts second optmised test run odd figures relating expected savings total test run time,2
CLOV-1084,instrumentation done always get two tests run,although instr done still see two tests run code info aclovercorevbuilddev updating existing database usersniickworkclovtrunkclovercoveragedb info aclovercorevbuilddev processing files source level info aclovercorevbuilddev clover instrumented files packages info aclovercorevbuilddev elapsed time secs filessec srclinessec info overideabuildclovercompiler completed instrumentation info aclovercorevbuilddev clover estimates saved around seconds optimized test run full test run takes approx seconds info aclovercorevbuilddev clover included test classes run total test classes info cloverprogressindicator creating database info cloverprogressindicator loading registry file info cloverprogressindicator building index info cloverprogressindicator loading coverage data info cloverprogressindicator reading pertest data info cloverprogressindicator resolving coverage data info cloverprogressindicator creating tree info cloverprogressindicator tree model ready code,1
CLOV-701,test columns empty projectjs generated via json report,json report generated test fields erroneoustestsfailingtestsfilteredelementspassingtestspcerroneoustestspcfailingtestspcpassingteststestexecutiontimetests projectjs test data definitely available html report,2
CLOV-906,cloverforgrails generates exception using cloverview option grails command line,cloverforgrails generates exception using cloverview option grails command line according nicks assessment far windowsspecific problem see output noformat cgrailssamplespetclinicgrails testapp cloveron cloverview welcome grails licensed apache standard license grails home set cgrails base directory cgrailssamplespetclinic resolving dependencies dependencies resolved running script cgrailsscriptstestappgroovy environment set test clover using config ontrue viewtrue using clover license path cdocuments settingsgiles gaskellgrailsprojectspetclinicpluginsclovergrailsappconfclovercloverevaluation license cloverenv loading cloverxml jarfilecdocumentsandsettingsgilesgaskellivycachecomcenquaclovercloverjarsclovermjarcloverx using default cloversetup configuration clover directories srcjava srcgroovy test grailsapp includes groovy java excludes conf plugins cloversetup clover version built february build cloversetup loaded cdocuments settingsgiles gaskellivycachecomcenquaclovercloverjarsclovermjar cloversetup clover evaluation license registered clover grails plugin cloversetup days license expires cloversetup clover enabled initstring cdocuments settingsgiles gaskellgrailsprojectspetcliniccloverdbcloverdb clover forcing clean ensure clover instrumentation occurs disable setting cloverforcecleanfalse delete deleting directory cgrailssamplespetclinictargetclasses delete deleting directory cgrailssamplespetclinictargettestclasses delete deleting directory cdocuments settingsgiles gaskellgrailsprojectspetclinicclover clover compile start mkdir created dir cgrailssamplespetclinictargetclasses groovyc compiling source files cgrailssamplespetclinictargetclasses cloversetup creating new database cdocuments settingsgiles gaskellgrailsprojectspetcliniccloverdbcloverdb groovyc compiling source files cgrailssamplespetclinictargetclasses cloversetup creating new database cdocuments settingsgiles gaskellgrailsprojectspetcliniccloverdbcloverdb mkdir created dir cgrailssamplespetclinictargettestreportshtml mkdir created dir cgrailssamplespetclinictargettestreportsplain starting unit test phase mkdir created dir cgrailssamplespetclinictargettestclassesunit groovyc compiling source file cgrailssamplespetclinictargettestclassesunit cloversetup updating existing database cdocuments settingsgiles gaskellgrailsprojectspetcliniccloverdbcloverdb running unit test running test orggrailssamplesownercontrollertestspassed tests completed tests passed tests failed starting integration test phase copy copying file cgrailssamplespetclinictargettestclassesintegration copy copying file cgrailssamplespetclinictargettestclasses copy copied empty directories empty directories cgrailssamplespetclinictargettestclasses clover compile start groovyc compiling source file cgrailssamplespetclinictargetclasses cloversetup updating existing database cdocuments settingsgiles gaskellgrailsprojectspetcliniccloverdbcloverdb copy copying file cgrailssamplespetclinictargetclasses clover compile start groovyc compiling source file cgrailssamplespetclinictargetclasses cloversetup updating existing database cdocuments settingsgiles gaskellgrailsprojectspetcliniccloverdbcloverdb junitreport processing cgrailssamplespetclinictargettestreportsteststestsuitesxml cdocumegilesglocalstempnull junitreport loading stylesheet jarfilecdocumentsandsettingsgilesgaskellivycacheorgapacheantantjunitjarsantjunitjarorgapac hetoolsanttaskdefsoptionaljunitxsljunitframesxsl junitreport transform time junitreport deleting cdocumegilesglocalstempnull tests passed view reports targettestreports clover tests ended cloverhistorypoint clover version built february build cloverhistorypoint loaded cdocuments settingsgiles gaskellivycachecomcenquaclovercloverjarsclovermjar cloverhistorypoint clover evaluation license registered clover grails plugin cloverhistorypoint days license expires cloverhistorypoint writing report cgrailssamplespetcliniccloverhistorycloverxmlgz cloverhtmlreport clover version built february build cloverhtmlreport loaded cdocuments settingsgiles gaskellivycachecomcenquaclovercloverjarsclovermjar cloverhtmlreport clover evaluation license registered clover grails plugin cloverhtmlreport days license expires cloverhtmlreport overwriting existing history point cgrailssamplespetcliniccloverhistorycloverxmlgz force set overw ritetrue cloverhtmlreport loading coverage database cdocuments settingsgiles gaskellgrailsprojectspetcliniccloverdbcloverdb cloverhtmlreport loading historical coverage data cgrailssamplespetcliniccloverhistory cloverhtmlreport writing html report cgrailssamplespetclinicbuildcloverreport cloverhtmlreport done processed packages per package cloverhtmlreport writing historical report cgrailssamplespetclinicbuildcloverreport cloverhtmlreport read history points cloverhtmlreport using movers interval hours cloverhtmlreport using movers interval hours cloverhtmlreport writing json historicaldata cgrailssamplespetclinicbuildcloverreporthistoricaljsonjs cloverhtmlreport done error executing script testapp javalangstringindexoutofboundsexception string index range ganttargetexecutionexception javalangstringindexoutofboundsexception string index range gantgantdispatchclosuredocallgantgroovy gantgantdispatchclosuredocallgantgroovy gantgantdispatchclosuredocallgantgroovy gantgantwithbuildlistenersgantgroovy gantgantthiswithbuildlistenersgantgroovy gantgantthiswithbuildlistenerscallcurrentunknown source gantgantdispatchgantgroovy gantgantthisdispatchgantgroovy gantgantinvokemethodgantgroovy gantgantprocesstargetsgantgroovy gantgantprocesstargetsgantgroovy caused javalangstringindexoutofboundsexception string index range javalangstringcharatstringjava javautilregexmatcherappendreplacementmatcherjava javautilregexmatcherreplaceallmatcherjava javalangstringreplaceallstringjava eventslaunchreporteventsgroovy eventsrunclosuredocalleventsgroovy grailseventsgroovyrunclosuredocallgrailseventsgroovy grailseventsgroovyrunclosurecallgrailseventsgroovy grailstestgroovyrunclosuredocallgrailstestgroovy testapprunclosuredocalltestappgroovy gantgantdispatchclosuredocallgantgroovy error executing script testapp javalangstringindexoutofboundsexception string index range application context shutting application context shutdown noformat,1
CLOV-930,implement test optimization grails cloveroptimize,running cloveroptimize save cloversnapshot first build use discern optimal set tests order run subsequent builds based source files modified length test test result failed tests always rerun,2
CLOV-940,clover ant gwt compile test clover,looks like gwtcloverxxx executed buildmay build sequence targets cloverfullclean cloverclean cloverfullclean buildmay complete build sequence cloverclean cloverfullclean cloversavehistory gwtcloverreport gwtcloverjson checkstyle commoncheckstyle buildonly distdev tools apichecknobuild apicheck test verify commonall build doc dist compileemmaifenabled dev gwtwithclover compileemmaifenabled commonclean gwtcloverfullclean commonbuild gwtclovercurrent presubmit gwtcloverclean gwtcloversavehistory cloversnapshot cloverjson cloverreport user cloverlog commoncompileemmaifenabled commoncompileemmaifenabled gwtcloverlog bikeshed emmamerge gwttest withclover jni clean cloverall commoncreateemmacoverageifenabled cloverxml commonverify createemmacoverageifenabled buildtools clovercurrent samples distbikeshed soyc gwtcloverall gwtcloverxml commontest servlet gwtcloversnapshot however targets without gwt executed,3
CLOV-951,assertion failing call made edt,code access allowed event dispatch thread details current thread threadapplicationimpl pooled threadidea thread group dispatch threadthreadawteventqueue eapfalseidea thread group systemeventqueuethread threadawteventqueue eapfalseidea thread group javalangthrowable comintellijopenapidiagnosticloggererrorloggerjava comintellijopenapiapplicationimplapplicationimplaapplicationimpljava comintellijopenapiapplicationimplapplicationimplassertisdispatchthreadapplicationimpljava comcenquacloverideacoveragedefaultcoveragemanagersetcoveragetreedefaultcoveragemanagerjava comcenquacloverideacoveragedefaultcoveragemanagerclearcachedefaultcoveragemanagerjava comcenquacloverideacoveragedefaultcoveragemanagersetcontextfilterdefaultcoveragemanagerjava comcenquacloverideaprojectplugingetcoveragemanagerprojectpluginjava comcenquacloverideaconfigcontextfilterpaneinitcontextfilterpanejava comcenquacloverideaconfigprojectconfigpanelgetfilterpaneprojectconfigpaneljava comcenquacloverideaconfigprojectconfigpanelgettabbedcontentprojectconfigpaneljava comcenquacloverideaconfigprojectconfigpanelgetlicensedpanelprojectconfigpaneljava comcenquacloverideaconfigprojectconfigpanelinitcomponentsprojectconfigpaneljava comcenquacloverideaconfigprojectconfigpanelinitprojectconfigpaneljava comcenquacloverideaprojectplugincreatecomponentprojectpluginjava comintellijopenapioptionsneweditoroptionseditorsimpleinitoptionseditorjava comintellijopenapioptionsneweditoroptionseditorboptionseditorjava comintellijopenapioptionsneweditoroptionseditoraccessoptionseditorjava comintellijopenapioptionsneweditoroptionseditorrunoptionseditorjava comintellijopenapiapplicationimplapplicationimplrunreadactionapplicationimpljava comintellijopenapioptionsneweditoroptionseditorrunoptionseditorjava comintellijopenapiapplicationimplapplicationimplrunapplicationimpljava javautilconcurrentexecutorsrunnableadaptercallexecutorsjava javautilconcurrentfuturetasksyncinnerrunfuturetaskjava javautilconcurrentfuturetaskrunfuturetaskjava javautilconcurrentthreadpoolexecutorworkerruntaskthreadpoolexecutorjava javautilconcurrentthreadpoolexecutorworkerrunthreadpoolexecutorjava javalangthreadrunthreadjava comintellijopenapiapplicationimplapplicationimplrunapplicationimpljava access allowed event dispatch thread details current thread threadapplicationimpl pooled threadidea thread group dispatch threadthreadawteventqueue eapfalseidea thread group systemeventqueuethread threadawteventqueue eapfalseidea thread group javalangthrowable comintellijopenapidiagnosticloggererrorloggerjava code,2
CLOV-953,occasionally clover getting broken hudson,using grails hudson clover time time hudson fails following console output without changes next build fine licensed apache standard license grails home set dappsgrails base directory dappspubhudsonhomejobslifepointsworkspacelifepoints warning dependencies cannot resolved plugin clover due error null resolving dependencies dependencies resolved running script dappsgrailsscriptstestappgroovy environment set test clover using config ontrue using clover license path dappspubhudsonhomejobslifepointsworkspacelifepointscloverlicense taskdef could load definitions resource cloverlibxml could found error executing script testapp problem failed create task type cloverenv cause name undefined action check spelling action check custom taskstypes declared action check presetdefmacrodef declarations taken place problem failed create task type cloverenv cause name undefined action check spelling action check custom taskstypes declared action check presetdefmacrodef declarations taken place orgapachetoolsantunknownelementgetnotfoundexceptionunknownelementjava orgapachetoolsantunknownelementmakeobjectunknownelementjava orgapachetoolsantunknownelementmaybeconfigureunknownelementjava eventstogglecloveroneventsgroovy eventsrunclosuredocalleventsgroovy grailseventsgroovyrunclosuredocallgrailseventsgroovy grailseventsgroovyrunclosurecallgrailseventsgroovy grailseventsgroovyrungrailseventsgroovy grailseventsgroovyruncallunknown source grailscleangroovyruncallunknown source grailscleangroovyrungrailscleangroovy grailscleangroovyruncallunknown source testappruntestappgroovy testappruncallunknown source gantgantprocesstargetsgantgroovy gantgantprocesstargetsgantgroovy error executing script testapp problem failed create task type cloverenv cause name undefined action check spelling action check custom taskstypes declared action check presetdefmacrodef declarations taken place,3
