issuekey,title,description,storypoint
STUDIO-95,support requestreply,requestreply mockups,13
STUDIO-280,cannot import studio project git without errors,steps reproduce create simple mule studio project instance echo example push github pullclone repository local instance open brand new workspace goto importgitprojects git select local copy github repository select import existing projects select project created import fails due missing directories see screenshot note import mule project works doesnt recognise project managed git cannot commit changes blocking work examples edit workaround perform clean operation project,3
STUDIO-382,changes java code get hot deployed,java source changes dont get picked right automatically see studio however even redeploy triggered latest java changes deployed,5
STUDIO-459,unable add response creating second flow mflow,unable add response creating second flow steps reproduce open studio create project existing template order discounter mflow file create another flow drag drop http rqrs echo flow reference router component echo file file try add response echo component like one displayed template flow unable add response instead lets add component http soap component see screen shot,8
STUDIO-618,namespaces xml view removed remove elements kind,add element remove reference schema file removed xml namespaces steps reproduce create project studio flow global elements tab add example global jetty endpoint default values xml view check xml code endpoint reference mulejettyxsd namespaces back global elements tab delete endpoint issue back xml view code endpoint reference mulejettyxsd still shouldnt jetty element flow global elements tab careful implementing reference namespaces remve instance element kind flow global element global endpoint connector reference element kind jetty element reason namespace,8
STUDIO-781,would save time given option create class addition selecting existing class inside widget dialog box component,add button classfieldeditor create class inline,5
STUDIO-782,view class code clicking class name displayed widget dialog box,currently view class code component specified widget configuration leave dialog box find desirable feature would view class code separate tab editor clicking class name displayed widget dialog box,5
STUDIO-837,reference subflow get lost changing subflow name exception strategy,steps reproduce create project studio flow subflow flow properties window set exception subflow ref combo subflow clic change name subflow open flow properties window subflow ref blank expected behavior reference preserved matters user decides change subflow name,8
STUDIO-853,studio lot smarter handling logic expressions rather see filters palette,seems could single filter element flow control section one dialog allows people select expression works wildcard regex section allow user add new filters think provides much better usability single filter element whole palette makes working logic filters natural user ieit feels odd start filter configure expressions,34
STUDIO-1212,response section displayed,config follows flow nameticketflowflow docnameticketflowflow compositesource exchangepatternrequestresponse hostlocalhost port docnamehttp vminboundendpoint exchangepatternrequestresponse pathhelloworld responsetimeout mimetypetextplain docnamevm compositesource component classcommulesoftcomponent docnamejava exchangepatternrequestresponse hostlocalhost port docnamehttp response component classcommulesoftcomponent docnamejava response flow response displayed see pic attached,5
STUDIO-1311,able drag drop composite source poll response elements,able drag drop composite source poll response elements flow correct let user able drop composite source poll dropping response elements empty response box created xml configuration written response attaching screen shot,3
STUDIO-1333,specification global endpoint connector created global elements table called confusing,usability issue specification global endpoint connector created global elements table called confusing steps reproduce create ftp global endpoint create ftp connector type name global elements table name already jira opened type specify global endpoint connector nowadays think type useless doesnt say anything user says ftp global endpoint connector happens rest global endpoints connectors pretty confusing,13
STUDIO-1415,executing simple lookup table configuration showing error message,created java xml mapping configured lookup table fields subjectkey email executed preview error message displayed messagetransform failed see attached screenshot,8
STUDIO-1428,unable create new mappings using new excel format xlsx,unable create new mapping using excel spreadsheet new format xlsx reproduce create new mapping input select excel add xlsx spreadsheet attached issue output select anything click finish button error displayed error log see attached screenshot error,8
STUDIO-1435,multiple xml validation errors studio editor,element jaxws service allowed child element http allowed often times makes perfect sense child element rather subsequent one false alarm flow start inbound endpoint response allowed child element http course allowed,5
STUDIO-1538,undo option command ctrl work remove global element,steps reproduce global elements tab create element remove press ctrl command issue element appears,8
STUDIO-1676,suggest stop corresponding running mule instance deleting project,steps reproduce create project run mule application try delete project including files error dialog pop related mule still using files directories deleted complete desire delete project user abort operation undo wont undo anything stop mule try studio prompt users consent stop running mule instance one running applications project deleted delete operation fail otherwise gets cancelled,5
STUDIO-1694,default auto delete file endpoint hidden nonusable way,see edit auto delete option file connector end point properties choose reference add reference global referencesconnector reference autodelete option see attached screenshot,8
STUDIO-1738,add jaxb support,would nice could support jaxb operations gui jaxbxmltoobjecttransformer jaxbcontext etc,2
STUDIO-1759,easily navigate xml gui,much easier navigate gui appropriate xml element flow block within xml furthermore would great way well click xml element bring user directly highlighted flow element within gui,13
STUDIO-1811,studio validating certain scopes start inbound outbound endpoints,edit bug first discovered exception strategies description case using message flow tab cant drop inboundonlyendpoints exception strategies forbids able xml isnt validation indication invalid example codexmlcatchexceptionstrategy imapinboundendpoint hostlocalhost port responsetimeout docnameimap catchexceptionstrategycode invalid imap inbound inbound error markers whatsoever present underlined xml present problem problems pane drawn redx message flow tab also valid kind scope restriction start inbound outbound endpoints sample snippets fail dont codexmlsubflow nameasdfflow docnameasdfflow imapinboundendpoint hostlocalhost port responsetimeout docnameimap subflowcode codexmlcompositesource smtpoutboundendpoint hostlocalhost port responsetimeout docnamesmtp compositesourcecode codexmlpoll frequency imapinboundendpoint hostlocalhost port responsetimeout docnameimap pollcode,5
STUDIO-2000,error unzipping mulestudio windows long path,unzipping mulestudio long path example desktop document settings errors shown attached screenshots may shown password protected error seems windows bug explained problem seems windows limitation much changed studio fix issue failing files eclipse classes workaround install studio simpler shorter directory example cmulestudio need add release notes see document better users stuff test happens winzip winrar problem default zip utility comes windows extracted cmulestudio directory moved another location specific versions windows present issue,21
STUDIO-2104,unable drag twitter neither salesforce streaming palette composite source,unable drag twitter neither salesforce streaming palette composite source composite source contain message sources therefore able drag drop salesforce twitter streaming composite source,2
STUDIO-4050,studio cannot pinned taskbar,unlike windows programs studio cannot pinned taskbar quick access aware problem eclipse general wanted make clear usability issue users rightclick taskbar icon running studio see one option close window,8
STUDIO-2779,studio online help enhancements,adding new content created antoniodocteam dynamic help adjusting widget ids make sure associated dynamic help content displaying dynamic help tab default studio upon first start,8
STUDIO-2787,fixing mes studio behavior fields use collections,,8
STUDIO-2781,studio support websockets,defined specification,8
STUDIO-2782,adding reference analytic endpoint studio start,whenever studio starts send get request following url studioid unique associated downloaded studio instance examplename name example cloudhub hosted service turn make call kissmetrics event name example using following url cloudhub service effectively acts proxy studio kissmetrics event case cloudhub service available connectivity cloudhub service machine example executed url callout fail gracefully noticeable effect studio users point view,8
STUDIO-2784,addition sql server list databases studio jdbc connector configuration window studio work,today show mysql derby oracle however sql rdbmss large footprints add two databases set shows jdbc connectors configuration screen,8
STUDIO-2147,querykey marked mandatory jdbc endpoint address valid attribute querykey specified,querykey marked mandatory jdbc endpoint address valid attribute querykey specified query referenced jdbc endpoint querykey address nowadays specified address attribute querykey get error saying please specify query,2
STUDIO-2154,error adding contextpropertyplaceholder,since possible add contextpropertyplaceholder tag pallete switched editor view used auto competion generate declaration contextpropertyplaceholder locationmuleproperties studio added xmlns automatically xsilocation looked like xsischemalocation null fixing location manually app started fine,5
STUDIO-2162,cloudhub integration needs progress bar cancel button run backgroun,deploying app cloudhub actual file upload take depending connection app size time theres way knowing app still responsive cant anything else also pushing button realized forgot something cant abort proces lastly itd nice run backgroun option many eclipse dialogs,2
STUDIO-2179,components flow arrow inside response block displayed reverse order,flow shows request response message flow inside flow using arrows different direction request goes left right response foes right left case response component part response flow arrows inside response left right like request flow would expect components inside response element displayed reverse order arrow shows direction flow goes right left,34
STUDIO-2235,directedit display name strange behavior windows,windows directediting display name element canvas editing box couple strange behaviors writing name scratch erase everything start writing first character shows upon typing second character first one visible though still display name empty editing box shows middle expanding right platform independent would nicer showed centered element image,5
STUDIO-2278,field editor navigation,really cool field editor data source editor hit tab key get column lease row days focus button move mouse navigate grid,2
STUDIO-2294,exception strategy inside choice making trouble,try insert reference exception strategy inside choice nothing happens message flow view backend xml view exception strategy added see screenshots,5
STUDIO-2299,deleting field everything seem deleted due collapse,mapping fields realized added one field going used delete map automatically collapsed giving idea everything deleted end user may realized collapseexpand issue,8
STUDIO-2309,looking jdbc global elements filter nothing shown,global elements tab clic create write jdbc filter,8
STUDIO-2310,entity ids generated correctly,setting xmlgeneration component really relate application xml generation mule config entity ids mflow generated long random strings steps reproduce create projectflow drop imap logger open mflow text editor see entity ids long unrepresentative strings additional information upon making modification flow entityids regenerated expected compname,8
STUDIO-2312,warning icon shown gui xml,shows sap transformer warning nothing displayed error log xml view see attached screenshot problem related sap editor xml definition,8
STUDIO-2315,bad maven project import studio using studiostudio,tried import project using studiostudio couple issues trying generate deployable archetype using export project included maven dependencies lib folder export complains folders srcmainresources srctestjava srctestresources exists attached find project trying import export,5
STUDIO-2321,data mapper lookup table javasqlsqlexception streaming result set commysqljdbcrowdatadynamic still active,using lookup table multiple times one mapping transformer led exception runtime,8
