issuekey,title,description,storypoint
DM-4,transition git repositories stash,transition gitolitemanaged repositories atlassian stash,10
DM-8,finalize mission statement,proposed mission statement lsst software stack development quote enabling lsst science creating well documented stateoftheart highperformance scalable multicamera open source oir survey data processing analysis system quote following rationale well documented otherwise impossible maintain usable level stateoftheart quality instrument needs science systematic limited require develop new algorithms break new ground number areas highperformance massive amount data need process reasonable budget scalable need run single core developers level users tens thousands cores data release production multicamera need process precursor data development purposes asdelivered camera wont ideal open source want community future surveys benefit efforts,2
DM-9,open lsst software mailing lists,benefit making lsst software development open possible conducive outside volunteer contributions one way increase community involvement open development mailing lists public analogous way open source projects example could softwaredevellsstcorporg development mailing list equivalent current lsstdata softwareuserslsstcorporg users mailing list equivalent current lsstdmstackusers mailing list could possibly replaced stackoverflowconfluence questions lsstdmlsstcorporg internal dmstaff mailing list rare discussionsnotices staff though dont rely meeting project specs legally required disclaimer,1
DM-10,transition confluence questions,open confluence questions site interaction community enable community selfhelp,10
DM-17,add derivativesbased optimizer measmultifit,see story points estimate remaining work code review still substantial,10
DM-20,release eups,release eups rhls github repository,1
DM-21,determine final urllocation stack,need know stack files going housed,1
DM-25,build winter release,run lsstbuild scripts eups distrib create build winter release,1
DM-26,update installation instructions,update confluence instructions install winter stack instructions,1
DM-28,modify gitolite permissions allow issuedmnnnn branches,use issuedmnnnn branches issues tracked jira differentiate ticketsnnnn branches still trac,1
DM-52,qserv configuration detailed design,detailed design covering qserv components configured runtime,3
DM-53,node configuration bootstrapping detailed design,design covering qserv components configured runtime design new qserv nodes bootstrapped add cluster already added nodes get updated offline crashed turned maintenance etc,6
DM-70,rewrite xrootdfacing code,task related dmtf involves plugin new xrootd client different interfaces async etc expect also major cleanup code talking xrootd plugging new xrootd,30
DM-71,data distribution design,need come detailed design covering deal data distribution managing multiple replicas recovering faults adding new nodes cluster registering new data ingest user data,8
DM-75,modify format version numbers,versions autogenerated new eupsbuildbot look like code eups list pipetasks gcdfbcb pyfits efdbb python scisql bafb scons bafb sconsutils gfdfeca sconsutils gcaca shapelet geeccfdd shapelet geeceeea skymap gbcdb skymap gacdcdaaa skypix gbfaeccd skypix geac code part plus sign output git describe slightly mangled part sha sorted namesshas dependencies benefit two causally disconnected buildbots inputs build versions many people complained theyre plain ugly heres alternative proposal tag exist commit use tag version theres tag use branchnamegshaabbrev illegal characters branchname get turned dots package dependencies build package different dependencies already exists append end keep mapping dependency name shas special git repository given source code git repo two causally disconnected buildbots generate set versions example versions mastergdeadbeef featuredmgdeadbeef featuredmgdeadbeef,1
DM-78,save gitbranch forced push detected,create gitolite hook save branch forced push detected ticket ticketsdmaaaa someone rebases pushes force applying update hook branch old state say backupsticketsdmaaaannnn nnnn monotonically increasing number per branch,1
DM-83,future import division breaks division extent,one future import division division operator extent types raises exception repeat ive tried master codepy future import division import lsstafwgeom afwgeom npt afwgeomextenti code exception raised removing first line succeeds expected,4
DM-85,measurement aperture corrections,current implementation aperture corrections measalgorithms correctfluxes class broken replicated measbase works psf model correct doesnt work aperture correct larger psf model image size doesnt propagate uncertainty aperture correction probably need estimating aperture correction errors single frames using psf stars psf models attaching information psf object retrieved coadded coaddpsf pmcs would bosch krughoff owen breakdown jbosch krughoff rowen,47
