issuekey,title,description,storypoint
MULE-6432,implement true multicast functionality processor,currently processes messages sequentially could issue message processors inside take long time respond multiple requestresponse endpoints discussed mikes agreed behavior configurable multicasttrue set true spawn multiple threads inside one mps inside throws exception return muleexceptionmessage included response collection exception strategy invoked,8
MULE-5990,mule support transaction resources used spring object component,know common use case bridge pattern read message inbound endpoint jms queue orand database jdbc writing message outbound endpoint jms queue orand database jdbc codexml service namemybridgeservice inbound jmsinboundendpoint queuequeueinbox inbound outbound multicastingrouter jmsoutboundendpoint queuequeueoutbox jdbcoutboundendpoint querykeyinsertmessagestmt multicastingrouter outbound service code happens something goes wrong writing result outbound endpoint jdbc endpoint dont use transaction inbound outbound endpoints message rollbacked inbound endpoint case exception solve issue configuring xatransaction endpoint appropriate transaction strategy codexml service namemybridgeservice inbound jmsinboundendpoint queuequeueinbox xatransaction actionalwaysbegin jmsinboundendpoint inbound outbound multicastingrouter jmsoutboundendpoint queuequeueoutbox xatransaction actionalwaysjoin jmsoutboundendpoint jdbcoutboundendpoint querykeyinsertmessagestmt xatransaction actionalwaysjoin jdbcoutboundendpoint multicastingrouter outbound service code happens component inbound outbound enpoints codexml service namemydaoservice inbound jmsinboundendpoint queuequeueinbox xatransaction actionalwaysbegin jmsinboundendpoint inbound component springobject beanmessagedao component outbound multicastingrouter jmsoutboundendpoint queuequeueoutbox xatransaction actionalwaysjoin jmsoutboundendpoint jdbcoutboundendpoint querykeyinsertmessagestmt xatransaction actionalwaysjoin jdbcoutboundendpoint multicastingrouter outbound service code cases spring object component messsagedao execute complicated business operations currently existing business api also use datasource execute several sql select update statements returning result outbound jdbc operations handled likely spring jdbctemplate even hibernatetemplate far understand mule fully responsible handle enlistmentdelistment close resources see orgmuletransactionxatransaction default resources used spring object component handled mule participate transaction started mule completeness ive also found unit test usecase mule distribution mulehomesrcmulesrcziporgmuletestintegrationtransactionxatransactionswithspringdaojava execute test successful result resource used dao bean enlisted delisted infrom transaction started mule,8
MULE-6087,include validation module mule core distribution,emiliano created validation module something thats missing inside mule validation module support builtin validators also supports different types exceptions validation allowing generate different response kind exception module,8
MULE-6118,untilsuccessful set exception payload last exception received sending dlq,title says see thread discussions deprecate dlq includes doc changes,5
MULE-6145,untilsuccessful support synchronous use cases,imagine simple synchronous http proxy use case flow flow outbound endpoint wrapped untilsuccessful flow wont work anymore untilsuccessful must support synchronous scenarios well,8
MULE-6172,upgrade apachecommonspool,since error handling current version apache commonspool buggy borrowconnection method throws nosuchelementexception losing original cause may need update library version fix issue however current code trunk tackles issue well wait new release,3
MULE-6251,add default object store non internal usages,current version provides object stores default persistentin memory use processing events internally object store could used users default,3
MULE-6355,soapversion ignored cxf proxy,invoking proxy soap message fails warning logs soap fault caller codexml soapenvelope xmlnssoap soapbody soapfault faultcode xmlnsns faultstringa soap message valid sent soap endpointfaultstring soapfault soapbody soapenvelope code removing soapversion attribute invoking proxy soap message works intense happiness,8
MULE-6367,ftp inbound endpoint fails reading empty file,put empty file ftp inbound path,5
MULE-6386,outbound endpoint scheduled dispatch job delivers messages,send test messages vmtestin say every second different payload youll notice whats delivered vmaccumulatedmessagehandler random order idea,5
