issuekey,title,description,storypoint
XD-1,hdfs itemwriter,base integration core hdfs writer functionality spring batch,1
XD-2,hdfs core writing helper classes,simple file writer existed spring hadoop samples,1
XD-7,tuple data structure,tuple data structure backward compatible functionality use spring batch porting fieldset tests spring batch use tuple data structure one way help ensure compatibility,1
XD-8,syslog ingestion,syslogxml config file added module registered module registry,1
XD-10,reactor based http ingestion,support boostrapping http server reactor project inbound adapter associated source module created,5
XD-14,design deploying,create enough design develop additional stories,3
XD-24,create pipes filters dsl ingestion,initial simple handcoded implementation straight pipe filter model,2
XD-28,create simple gague service,gauge stores number implementations inmemory redis,1
XD-29,create rich gauge service,rich gauge stores number also rmd min max implementations inmemory redis,5
XD-30,create simple counter service,simple counters incrementdecrement number implementations inmemory redis,1
XD-31,create fieldvalue counters,fieldvalue counter useful bar chart graphs strings xaxis count yaxis maps well zset redis implementations inmemory redis,5
XD-35,create process build,bamboo based,1
XD-37,gradle based multiproject build,multi project build look spring framework source starting point,2
XD-40,build script creates executable server artifact,gradle application plugin good starting point main server would host based modules syslogfile ingestion example,2
XD-43,metric repositories support spring data crudrepository interface,provides common crud behavior shared interface useful testing scenarios,5
XD-44,redis based repositories use namingstrategy class calculate name key use persistence,rediscounterrepository redisgaugerepository duplicated code needs factored one place one duplication determination key name use persistence abstracted strategy helper class,1
XD-45,remove expiry keys redis based repositories,duplicated code redis based repositories related expiry behavior move common shared helper class andor base class,1
XD-49,move redis queue channel adapters springintegrationredis,currently implementations springxddirt module moved springintegrationredis already depending upon spring integration snapshots since channelregistry implementation yet milestone okay redis channel adapters also spring integration released,3
XD-50,add tap support dirt,syntax code tap somechannel keyvalue somecounter code,2
XD-53,design document desired high level dsl configuring data processing,start explore dsl cover advanced nonlinear spring integration flows well spring batch jobs,13
XD-54,metrics backed message counter,spring integration based serviceactivator counts number messages using spring metrics support,1
XD-55,serviceactivator metrics backed field value counter,spring integration based serviceactivator counts occurrence field names either tuple data structure pojo using spring metrics support,3
XD-56,switch use lettuce driver redis,replace use jedis lettuce higher performance,2
XD-58,buildgradle doesnt handle small handful libraries,trying build springxd first resulted lots errors inside sts empty repo,1
XD-59,tuple support storing nested tuples,nested tuple structures shoudl supported gettupleint index gettuplestring name,1
XD-60,saving metric counter gauge existing name throw exception,difference saving new metric updating existing one needs defined suggest try save existing counter already database throw exception dataintegrityviolationexception,1
XD-61,create distributable artifact contains server application startstop scripts,gradle application task get way create distributable artifact akin see downloading tomcatjetty etc launch task tasklaunch dependson classes type javaexec main orgspringframeworkxddirtstreamstreamserver classpath sourcesetstestruntimeclasspath main referenced application plugin task create zip distributable needed ideally would nice download zip unzip springxdbin xdserver start gracefully shutdown later xdserver stop dont know canshould bundle redis think bundle scripts unixlinux windows discuss brew based install well,8
XD-62,use tuple data structure process data spring batch step,require pojo order endtoend processing batch step,5
XD-65,gemfire sink update gemfire cache,update gemfire region,2
XD-66,gauge counter hash equals depend values,value mutable causes problems storing metrics hashset example,1
XD-67,submit brewbased install spring,host spring distributable zip somewhere accessible external http request create brew formula spring install specifying redis dependency starting stream server upon successful brew install couple questions name brew task springxd name taken yet start stream server part brew install process specify redis recommended dependency user pass brew install springxd withoutredis skip redis installation default brew install springxd install redis well,8
XD-68,export data hdfs relational database,based single process running spring batch job support etl data hdfs rdbms,8
XD-69,export data hdfs mongodb,based single process spring batch job etl data hdfs mongodb,5
XD-70,create general structure asciidoc based wiki spring guide,adopt asciidoc markdown syntax useful generating pdf feature rich standard github flavored markdown loosely following conventions generate docbookpdf docs asciidoc wiki asciidoctor project key element adoption asciidoc use format github rendering engine used github asciidoc see guidance,2
XD-71,remove uuid tuple class replace efficient implementation,java uuid class known fasted implementation available see high perf impls,1
XD-72,provide http source,stream able ingest data http,5
XD-73,add test startstop stream server,additional existing tests check redis connection need add tests startstop stream server,2
XD-75,add redis bundle distribution zip file,linux mac,5
XD-78,documentation http file processing,put guide section input sources wiki page,1
XD-79,end user guide data streams,put guide section streams wiki page end user focused need mention spring underpinning impl details,5
XD-80,documentation http hdfs processing,put guide section inputstream wiki page,1
XD-81,documentation syslog file processing,put guide section inputstream wiki page,3
XD-82,documentation tail file processing,put guide section inputstream wiki page,3
XD-83,documentation tail hdfs processing,put guide section inputstream wiki page,1
XD-84,documentation http gemfire processing,put guide section inputstream wiki page,3
XD-85,documentation gemfirecq file processing,put guide section inputstream wiki page,3
XD-86,documentation twittersearch file processing,put guide section inputstream wiki page,3
XD-87,documentation introduces taps,put guide section inputstream wiki page,3
XD-88,documentation counter taps,put guide section inputstream wiki page,3
XD-89,documentation gauge taps,put guide section inputstream wiki page,3
XD-90,documentation rich gauge taps,put guide section inputstream wiki page,3
XD-91,documentation field value taps,put guide section inputstream wiki page,3
