issuekey,title,description,storypoint
TISTUD-6,add object literals function invocations,divpthe idea metadata captures type function arg able create instance type object literal arg function invocation examplep pre codetiuicreatelabel ltpropertycaheregt code prediv,1
TISTUD-9,update branding appcelerator plugin appcelerator logo,divpat least fix feature icons associated natures perhaps screens wellpdiv,1
TISTUD-11,create new json schema sdk team,divpcreate json schema containing properties required proper hand schema platform team output new docsjson files part new sdk releases may instead use vsdoc format case need indicate sdk team additional items added docspdiv,1
TISTUD-13,create project references property page,divpcreate property page project allows manipulation embedded references user add remove references filesystem url possiblep pthere may well established metaphor existing page php pdt jsdt elsewhere investigate reusing page possible appropriatepdiv,1
TISTUD-16,new desktop project wizard,divpdesktop need convert existing project creation code java items href others href,1
TISTUD-21,launch application blackberry emulator,divpnote emulators platformspecific need restrict usage appropriate create launch configuration run application appropriate device emulator copy options tidev appropriatepdiv,1
TISTUD-22,launch application ios device tethered,divpreplicate experience tidev creating launch configuration appropriatepdiv,1
TISTUD-23,launch application android device tethered,divpcheck items part launch configuration correct would open preference pagepdiv,1
TISTUD-24,create packager desktop project,divpdesktop send zip file web service package poll see process completed embed web page links completed buildpdiv,1
TISTUD-25,create packager mobileios project,divpfollow existing screensworkflow appropriate launch wizard rightclick menu app explorer button app explorer top barpdiv,1
TISTUD-28,show remote samples samples view,divpallow alternate list samples pulled remote server others would cloned github repo demand using code rublespdiv,1
TISTUD-29,add titanium samples,divpshort list prepackaged samples included titanium developer plugin kitchen sink obvious onepdiv,1
TISTUD-30,convert titanium ruble package titanium plugin,divpconvert existing titanium mobile ruble aptana format href doublecheck licensemay need ask permissionpdiv,1
TISTUD-31,add sample titanium templates,divpadd template directory add sample templates per titanium projects specific suggestions perhaps something sdk team could suggest least placeholder ruble added later otherspdiv,1
TISTUD-32,autoupdate titanium sdk,divpping web service newer versions sdk present download unzip proper directory shalom suggests reusing parts portal codepdiv,1
TISTUD-36,launch debugger emulators,divpadd button app explorer help debugging current project similar launching firefox debugger screens similarpdiv,1
TISTUD-37,launch debuggers device tethered,divpsimilar debugging optionspdiv,1
TISTUD-40,add iframe content welcomedashboard screen,retrieve content frame similar location tidev assume static content offline mode,1
